behavior_tag,standard,Material_category,material_name,condition,ultimate_tensile_strength,yield_strength,elongation_pct,brinell_hb,vickers_hv,youngs_modulus,shear_modulus,poisson_ratio,density_kg_m3,description,critical_strain_energy_density
Limited ductility,ANSI,,Copper-Nickel C96600,,758000000,483000000,7,,,100000000000,37000000000,0.34,8500,,245000000
Ductile,ANSI,,Nickel Silver C97300,,241000000,117000000,20,,,100000000000,37000000000,0.34,8500,,2000000000
Ductile,ANSI,,Nickel Silver C97400,,262000000,117000000,20,,,100000000000,37000000000,0.34,8500,,2000000000
Ductile,ANSI,,Nickel Silver C97600,,310000000,165000000,20,,,100000000000,37000000000,0.34,8500,,2000000000
Ductile,ANSI,,Nickel Silver C97800,,379000000,207000000,15,,,100000000000,37000000000,0.34,8500,,1125000000
Brittle,ANSI,,Special Alloy C99300,,655000000,379000000,2,,,100000000000,37000000000,0.34,8500,,20000000
Ductile,ANSI,,Special Alloy C99400,,455000000,234000000,25,,,100000000000,37000000000,0.34,8500,,3125000000
Limited ductility,ANSI,,Special Alloy C99500,,483000000,276000000,12,,,100000000000,37000000000,0.34,8500,,720000000
Ductile,ANSI,,Special Alloy C99700,,379000000,172000000,25,,,100000000000,37000000000,0.34,8500,,3125000000
Ductile,ANSI,,Special Alloy C99750,,448000000,221000000,30,,,100000000000,37000000000,0.34,8500,,4500000000
Ductile,ANSI,Copper Alloy,Copper Alloy C10100,,221000000,69000000,55,,,108000000000,40000000000,0.35,8930,,16335000000
Ductile,ANSI,Copper Alloy,Copper Alloy C15000,,200000000,41000000,54,,,108000000000,40000000000,0.35,8930,,15746400000
Ductile,ANSI,Copper Alloy,Copper Alloy C15500,,276000000,124000000,40,,,108000000000,40000000000,0.35,8930,,8640000000
Ductile,ANSI,Copper Alloy,Copper Alloy C15715,,359000000,303000000,27,,,108000000000,40000000000,0.35,8930,,3936600000
Ductile,ANSI,Copper Alloy,Copper Alloy C15720,,441000000,372000000,25,,,108000000000,40000000000,0.35,8930,,3375000000
Ductile,ANSI,Copper Alloy,Copper Alloy C15760,,483000000,448000000,22,,,108000000000,40000000000,0.35,8930,,2613600000
Ductile,ANSI,Copper Alloy,Copper Alloy C16200,,241000000,48000000,57,,,108000000000,40000000000,0.35,8930,,17544600000
